Names Translation Tables (<short name> - <original name>):
Wells:
   W1 - WR
   W2 - WP
Bimolecular products:
   P1 - C5H5CH3-1+OH
   P2 - C5H5CH2-1+H2O
Inner Barriers:
   B1 - B2
Outer Barriers:
   C1 - B1
   C2 - B3
    E, kcal/mol    D, mol/kcal         W1->W2         W1->P1
           28.1    5.10199e+17    5.31192e+14    6.32212e+16
           28.2    5.39534e+17    5.32749e+14    6.31166e+16
           28.3    5.70493e+17    5.34303e+14     6.3012e+16
           28.4    6.03164e+17    5.35854e+14    6.29075e+16
           28.5    6.37638e+17      5.374e+14    6.28032e+16
           28.6     6.7401e+17    5.38942e+14    6.26989e+16
           28.7    7.12381e+17    5.40481e+14    6.25946e+16
           28.8    7.52858e+17    5.42016e+14    6.24905e+16
           28.9    7.95551e+17    5.43547e+14    6.23865e+16
             29    8.40577e+17    5.45074e+14    6.22826e+16
           29.1    8.88059e+17    5.46598e+14    6.21787e+16
           29.2    9.38126e+17    5.48118e+14     6.2075e+16
           29.3    9.90914e+17    5.49634e+14    6.19713e+16
           29.4    1.04657e+18    5.51146e+14    6.18678e+16
           29.5    1.10523e+18    5.52655e+14    6.17643e+16
           29.6    1.16706e+18     5.5416e+14     6.1661e+16
           29.7    1.23223e+18    5.55661e+14    6.15578e+16
           29.8    1.30091e+18    5.57158e+14    6.14546e+16
           29.9    1.37327e+18    5.58652e+14    6.13516e+16
             30    1.44952e+18    5.60142e+14    6.12487e+16
           30.1    1.52985e+18    5.61629e+14    6.11459e+16
           30.2    1.61447e+18    5.63111e+14    6.10432e+16
           30.3     1.7036e+18     5.6459e+14    6.09407e+16
           30.4    1.79748e+18    5.66066e+14    6.08382e+16
           30.5    1.89634e+18    5.67514e+14    6.07359e+16
           30.6    2.00045e+18     5.6893e+14    6.06337e+16
           30.7    2.11008e+18    5.70342e+14    6.05316e+16
           30.8    2.22549e+18    5.71751e+14    6.04297e+16
           30.9      2.347e+18    5.73155e+14    6.03278e+16
             31     2.4749e+18    5.74556e+14    6.02261e+16
           31.1    2.60952e+18    5.75953e+14    6.01246e+16
           31.2    2.75121e+18    5.77346e+14    6.00231e+16
           31.3    2.90032e+18    5.78735e+14    5.99218e+16
           31.4    3.05722e+18     5.8012e+14    5.98206e+16
           31.5    3.22231e+18    5.81502e+14    5.97195e+16
           31.6      3.396e+18    5.82879e+14    5.96186e+16
           31.7    3.57872e+18    5.84253e+14    5.95178e+16
           31.8    3.77092e+18    5.85623e+14    5.94172e+16
           31.9    3.97309e+18    5.86989e+14    5.93167e+16
             32    4.18571e+18    5.88352e+14    5.92163e+16
           32.1    4.40931e+18     5.8971e+14    5.91161e+16
           32.2    4.64443e+18    5.91065e+14     5.9016e+16
           32.3    4.89165e+18    5.92416e+14     5.8916e+16
           32.4    5.15157e+18    5.93764e+14    5.88162e+16
           32.5    5.42482e+18    5.95108e+14    5.87165e+16
           32.6    5.71205e+18    5.96448e+14     5.8617e+16
           32.7    6.01395e+18    5.97784e+14    5.85176e+16
           32.8    6.33126e+18    5.99116e+14    5.84184e+16
           32.9    6.66472e+18    6.00445e+14    5.83193e+16
             33    7.01513e+18     6.0177e+14    5.82203e+16
           33.1    7.38332e+18    6.03092e+14    5.81215e+16
           33.2    7.77016e+18     6.0441e+14    5.80229e+16
           33.3    8.17657e+18    6.05724e+14    5.79244e+16
           33.4    8.60349e+18    6.07035e+14     5.7826e+16
           33.5    9.05193e+18    6.08342e+14    5.77278e+16
           33.6    9.52293e+18    6.09645e+14    5.76298e+16
           33.7    1.00176e+19    6.10945e+14    5.75319e+16
           33.8    1.05371e+19    6.12241e+14    5.74342e+16
           33.9    1.10825e+19    6.13534e+14    5.73366e+16
             34    1.16552e+19    6.14823e+14    5.72391e+16
           34.1    1.22565e+19    6.16108e+14    5.71419e+16
           34.2    1.28878e+19     6.1739e+14    5.70447e+16
           34.3    1.35504e+19    6.18669e+14    5.69478e+16
           34.4     1.4246e+19    6.19943e+14     5.6851e+16
           34.5     1.4976e+19    6.21215e+14    5.67543e+16
           34.6    1.57421e+19    6.22483e+14    5.66578e+16
           34.7     1.6546e+19    6.23747e+14    5.65615e+16
           34.8    1.73897e+19    6.25008e+14    5.64653e+16
           34.9    1.82748e+19    6.26265e+14    5.63693e+16
             35    1.92035e+19    6.27519e+14    5.62735e+16
           35.1    2.01777e+19    6.28769e+14    5.61778e+16
           35.2    2.11997e+19    6.30016e+14    5.60822e+16
           35.3    2.22716e+19     6.3126e+14    5.59869e+16
           35.4    2.33959e+19      6.325e+14    5.58917e+16
           35.5     2.4575e+19    6.33737e+14    5.57966e+16
           35.6    2.58115e+19     6.3497e+14    5.57017e+16
           35.7    2.71081e+19      6.362e+14     5.5607e+16
           35.8    2.84676e+19    6.37426e+14    5.55125e+16
           35.9     2.9893e+19     6.3865e+14    5.54181e+16
             36    3.13873e+19    6.39869e+14    5.53238e+16
           36.1    3.29537e+19    6.41086e+14    5.52298e+16
           36.2    3.45957e+19    6.42299e+14    5.51359e+16
           36.3    3.63167e+19    6.43508e+14    5.50422e+16
           36.4    3.81205e+19    6.44715e+14    5.49486e+16
           36.5    4.00107e+19    6.45918e+14    5.48552e+16
           36.6    4.19916e+19    6.47117e+14     5.4762e+16
           36.7    4.40671e+19    6.48314e+14    5.46689e+16
           36.8    4.62418e+19    6.49507e+14     5.4576e+16
           36.9    4.85202e+19    6.50697e+14    5.44832e+16
             37     5.0907e+19    6.51883e+14    5.43907e+16
           37.1    5.34073e+19    6.53067e+14    5.42983e+16
           37.2    5.60263e+19    6.54247e+14     5.4206e+16
           37.3    5.87693e+19    6.55424e+14     5.4114e+16
           37.4    6.16422e+19    6.56597e+14    5.40221e+16
           37.5    6.46507e+19    6.57768e+14    5.39304e+16
           37.6    6.78011e+19    6.58935e+14    5.38388e+16
