Names Translation Tables (<short name> - <original name>):
Wells:
   W1 - WR
   W2 - WP
Bimolecular products:
   P1 - C5H5CH3-1+H
   P2 - C5H4CH3+H2
Inner Barriers:
   B1 - B2
Outer Barriers:
   C1 - B1
   C2 - B3
    E, kcal/mol    D, mol/kcal         W1->W2         W1->P1
            186    5.16818e+39     2.6784e+08    3.78549e+09
          186.5    5.59148e+39    2.68153e+08     3.7719e+09
            187    6.04846e+39    2.68465e+08    3.75839e+09
          187.5    6.54171e+39    2.68776e+08    3.74496e+09
            188    7.07405e+39    2.69085e+08     3.7316e+09
          188.5    7.64847e+39    2.69392e+08    3.71832e+09
            189     8.2682e+39    2.69698e+08    3.70511e+09
          189.5    8.93672e+39    2.70003e+08    3.69198e+09
            190    9.65775e+39    2.70306e+08    3.67892e+09
          190.5    1.04353e+40    2.70608e+08    3.66594e+09
            191    1.12737e+40    2.70909e+08    3.65303e+09
          191.5    1.21775e+40    2.71208e+08    3.64019e+09
            192    1.31516e+40    2.71506e+08    3.62742e+09
          192.5    1.42016e+40    2.71802e+08    3.61472e+09
            193    1.53329e+40    2.72097e+08    3.60209e+09
          193.5    1.65518e+40     2.7239e+08    3.58954e+09
            194    1.78649e+40    2.72683e+08    3.57705e+09
          194.5    1.92791e+40    2.72974e+08    3.56463e+09
            195    2.08021e+40    2.73263e+08    3.55228e+09
          195.5    2.24421e+40    2.73551e+08       3.54e+09
            196    2.42076e+40    2.73838e+08    3.52779e+09
          196.5    2.61081e+40    2.74124e+08    3.51564e+09
            197    2.81536e+40    2.74408e+08    3.50356e+09
          197.5    3.03547e+40    2.74691e+08    3.49155e+09
            198    3.27231e+40    2.74973e+08     3.4796e+09
          198.5    3.52711e+40    2.75253e+08    3.46771e+09
            199    3.80118e+40    2.75532e+08    3.45589e+09
          199.5    4.09595e+40     2.7581e+08    3.44414e+09
            200    4.41292e+40    2.76086e+08    3.43244e+09
          200.5    4.75373e+40    2.76361e+08    3.42081e+09
            201    5.12012e+40    2.76635e+08    3.40925e+09
          201.5    5.51394e+40    2.76908e+08    3.39774e+09
            202     5.9372e+40    2.77179e+08     3.3863e+09
          202.5    6.39204e+40    2.77449e+08    3.37492e+09
            203    6.88073e+40    2.77718e+08    3.36359e+09
          203.5    7.40572e+40    2.77986e+08    3.35233e+09
            204    7.96964e+40    2.78252e+08    3.34113e+09
          204.5    8.57529e+40    2.78517e+08    3.32999e+09
            205    9.22567e+40    2.78781e+08     3.3189e+09
          205.5    9.92397e+40    2.79044e+08    3.30788e+09
            206    1.06736e+41    2.79305e+08    3.29691e+09
          206.5    1.14783e+41    2.79566e+08      3.286e+09
            207     1.2342e+41    2.79825e+08    3.27515e+09
          207.5    1.32688e+41    2.80083e+08    3.26435e+09
            208    1.42633e+41    2.80339e+08    3.25361e+09
          208.5    1.53302e+41    2.80595e+08    3.24293e+09
            209    1.64746e+41    2.80849e+08     3.2323e+09
          209.5     1.7702e+41    2.81102e+08    3.22173e+09
            210    1.90184e+41    2.81354e+08    3.21121e+09
          210.5    2.04298e+41    2.81605e+08    3.20075e+09
            211    2.19431e+41    2.81855e+08    3.19034e+09
          211.5    2.35653e+41    2.82103e+08    3.17998e+09
            212    2.53041e+41     2.8235e+08    3.16968e+09
          212.5    2.71675e+41    2.82597e+08    3.15943e+09
            213    2.91643e+41    2.82842e+08    3.14923e+09
          213.5    3.13037e+41    2.83086e+08    3.13909e+09
            214    3.35957e+41    2.83328e+08      3.129e+09
          214.5    3.60508e+41     2.8357e+08    3.11895e+09
            215    3.86802e+41    2.83811e+08    3.10896e+09
          215.5     4.1496e+41     2.8405e+08    3.09902e+09
            216    4.45111e+41    2.84288e+08    3.08913e+09
          216.5    4.77391e+41    2.84526e+08    3.07929e+09
            217    5.11946e+41    2.84762e+08     3.0695e+09
          217.5    5.48932e+41    2.84997e+08    3.05976e+09
            218    5.88516e+41    2.85231e+08    3.05006e+09
          218.5    6.30873e+41    2.85463e+08    3.04042e+09
            219    6.76194e+41    2.85695e+08    3.03082e+09
          219.5    7.24679e+41    2.85926e+08    3.02128e+09
            220    7.76544e+41    2.86156e+08    3.01178e+09
          220.5    8.32016e+41    2.86384e+08    3.00232e+09
            221     8.9134e+41    2.86612e+08    2.99292e+09
          221.5    9.54775e+41    2.86838e+08    2.98356e+09
            222     1.0226e+42    2.87064e+08    2.97424e+09
