! This thermodynamic database was obtained by fitting the thermodynamic properties
! extracted from the following file: C3Mech.THERM
! The thermodynamic properties are fitted in order to preserve not only the 
! continuity of each function at the intermediate temperature, but also the  continuity
! of the derivatives, from the 1st to the 3rd order
! The intermediate temperatures are chosen in order to minimize the fitting error.
! Last update: 7/18/2025

THERMO ALL
270.   1000.   3500. 
HE                      HE  1               G    200.00   3500.00 1800.00      1
 6.79322339e-09-9.18377427e-13-2.21745971e+04 1.83539435e+01                   4
HOCH2O2H                H   4O   3C   1     G    300.00   3500.00 1540.00      1
 1.11792358e+01 9.40377153e-03-3.87372394e-06 7.67637578e-10-6.04150373e-14    2
-4.19216220e+04-2.86930541e+01 6.22942572e-01 3.68227149e-02-3.05804870e-05    3
 1.23290069e-08-1.93726070e-12-3.86702837e+04 2.67929803e+01                   4
C2H5                    H   5C   2          G    300.00   3500.00  700.00      1
-1.10489342e+00 2.43511910e-02-1.39613149e-05 3.89870289e-09-4.17285111e-13    2
 1.35030748e+04 3.00146899e+01 4.99501768e+00-1.05054439e-02 6.07314741e-05    3
-6.72372866e-08 2.49884254e-11 1.26490873e+04 2.76183033e+00                   4
C2H6                    H   6C   2          G    200.00   3500.00  700.00      1
-3.21093235e-01 2.48444725e-02-1.26137406e-05 3.11479150e-09-3.01094502e-13    2
-1.09587207e+04 2.25927679e+01 2.85329846e+00 6.70509138e-03 2.62563618e-05    3
-3.39043536e-08 1.29200287e-11-1.14031355e+04 8.41038894e+00                   4
C2H5O2                  H   5O   2C   2     G    200.00   3500.00 1800.00      1
 5.11533511e+00 2.16648105e-02-1.10895960e-05 2.75258201e-09-2.67573811e-13    2
-5.72733161e+03 9.46856055e-01 1.77674981e+00 2.90838890e-02-1.72721614e-05    3
 5.04242104e-09-5.85607008e-13-4.52544090e+03 1.90159761e+01                   4
C2H5O2H                 H   6O   2C   2     G    200.00   3500.00 1730.00      1
 6.70206288e+00 2.16412101e-02-1.05802294e-05 2.53430156e-09-2.40675464e-13    2
-2.29605350e+04-7.41407904e+00 2.07653892e+00 3.23360631e-02-1.98532234e-05    3
 6.10770965e-09-7.57063917e-13-2.13601037e+04 1.74367490e+01                   4
C2H3                    H   3C   2          G    200.00   3500.00 1470.00      1
 3.13563056e+00 1.00482027e-02-4.57747145e-06 1.02320814e-09-9.10794911e-14    2
 3.42831594e+04 7.10902591e+00 1.80273188e+00 1.36751379e-02-8.27842572e-06    3
 2.70164546e-09-3.76528014e-13 3.46750317e+04 1.40530073e+01                   4
C2H5O                   H   5O   1C   2     G    300.00   3500.00  700.00      1
 1.68957255e+00 2.35453825e-02-1.23415273e-05 3.08911893e-09-2.98016648e-13    2
-3.10347953e+03 1.69410912e+01 3.27852941e+00 1.44656290e-02 7.11508727e-06    3
-1.54409902e-08 6.31987947e-12-3.32593349e+03 9.84203401e+00                   4
C2H4O2H                 H   5O   2C   2     G    200.00   3500.00 1770.00      1
 8.01266058e+00 1.63580641e-02-7.77691470e-06 1.82406456e-09-1.70653834e-13    2
 2.69814353e+03-1.17802014e+01 4.07525165e+00 2.52561634e-02-1.53176768e-05    3
 4.66427627e-09-5.71813681e-13 4.09198629e+03 9.46370056e+00                   4
C2H4O1-2                H   4O   1C   2     G    200.00   3500.00 1800.00      1
 5.61226831e+00 1.26937900e-02-5.22648273e-06 1.05812857e-09-8.73545559e-14    2
-9.48379785e+03-8.30154179e+00-6.96515293e-01 2.67133091e-02-1.69094153e-05    3
 5.38514064e-09-6.88328455e-13-7.21263575e+03 2.58429112e+01                   4
C2-OOQOOH               H   5O   4C   2     G    300.00   3500.00 1800.00      1
 1.24323205e+01 1.62359003e-02-6.84260833e-06 1.39267577e-09-1.12911275e-13    2
-1.87641090e+04-2.90906560e+01 5.81911554e+00 3.09319113e-02-1.90892842e-05    3
 5.92848165e-09-7.42884315e-13-1.63833552e+04 6.70138893e+00                   4
HO2CH2CHO               H   4O   3C   2     G    300.00   3500.00 1320.00      1
 1.07635177e+01 1.54113703e-02-7.78240066e-06 1.83947585e-09-1.67405646e-13    2
-3.22469697e+04-2.54767282e+01-1.29509388e+00 5.19526174e-02-4.93065451e-05    3
 2.28112660e-08-4.13933559e-12-2.90634963e+04 3.60469552e+01                   4
NC3H7O2H                H   8C   3O   2     G    200.00   3500.00  700.00      1
 2.30682597e+00 4.06065694e-02-2.23785796e-05 5.87983878e-09-5.93466012e-13    2
-2.40354127e+04 1.95782995e+01 3.92488542e+00 3.13605155e-02-2.56560684e-06    3
-1.29896591e-08 6.14564037e-12-2.42619410e+04 1.23492193e+01                   4
NC3H7O2                 H   7C   3O   2     G    200.00   3500.00 1800.00      1
 5.28456205e+00 3.13683355e-02-1.60699797e-05 3.98373060e-09-3.86493533e-13    2
-8.55966505e+03 2.63323733e+00 1.62114803e+00 3.95092556e-02-2.28540797e-05    3
 6.49636024e-09-7.35469872e-13-7.24083601e+03 2.24603982e+01                   4
IC3H7O2H                H   8C   3O   2     G    200.00   3500.00 1570.00      1
 8.01067272e+00 2.96672064e-02-1.45383494e-05 3.47817138e-09-3.29131843e-13    2
-2.79307804e+04-1.35046860e+01 2.47875435e+00 4.37612659e-02-2.80040114e-05    3
 9.19607456e-09-1.23962598e-12-2.61937580e+04 1.56789359e+01                   4
IC3H7O2                 H   7C   3O   2     G    200.00   3500.00 1740.00      1
 6.94792334e+00 2.82302267e-02-1.39148239e-05 3.34807052e-09-3.18442523e-13    2
-1.10932669e+04-7.66074855e+00 2.56691569e+00 3.83015087e-02-2.25969635e-05    3
 6.67456080e-09-7.96386529e-13-9.56867622e+03 1.59016559e+01                   4
C2H5OH                  H   6O   1C   2     G    300.00   3500.00 1800.00      1
 7.24128341e+00 1.46360526e-02-5.55095407e-06 1.02634667e-09-7.66961541e-14    2
-3.20718664e+04-1.36754885e+01-1.80767017e-02 3.07679640e-02-1.89942135e-05    3
 6.00533165e-09-7.68221846e-13-2.94584968e+04 2.56136828e+01                   4
CH3CHO                  H   4O   1C   2     G    200.00   3500.00  700.00      1
 1.13006773e+00 2.10512688e-02-1.12678523e-05 2.89319069e-09-2.87052123e-13    2
-2.11458781e+04 1.95518344e+01 3.38885449e+00 8.14391588e-03 1.63907611e-05    3
-2.34483458e-08 9.12063949e-12-2.14621082e+04 9.46014668e+00                   4
NC3H7O                  C   3H   7O   1     G    298.00   3500.00 1290.00      1
 3.97116348e+00 2.94174113e-02-1.47582703e-05 3.59520529e-09-3.44825503e-13    2
-6.66081451e+03 6.81943443e+00 7.25209691e-01 3.94823843e-02-2.64617273e-05    3
 9.64350347e-09-1.51697631e-12-5.82335843e+03 2.33058420e+01                   4
NC3H7OH                 C   3H   8O   1     G    300.00   3500.00 1800.00      1
 1.17541137e+01 1.65901104e-02-5.33943459e-06 8.02683321e-10-4.66312963e-14    2
-3.67060150e+04-3.65345393e+01-2.04185188e-01 4.31641079e-02-2.74844325e-05    3
 9.00453440e-09-1.18577728e-12-3.24010274e+04 2.81862688e+01                   4
C2H5CHO                 C   3H   6O   1     G    298.00   3500.00  700.00      1
 1.28249179e+00 3.07347333e-02-1.62886432e-05 4.15419614e-09-4.12102784e-13    2
-2.42746096e+04 2.13245012e+01 4.63098722e+00 1.16004737e-02 2.47133416e-05    3
-3.48953132e-08 1.35341506e-11-2.47433990e+04 6.36427076e+00                   4
IC3H7O                  C   3H   7O   1     G    298.00   3500.00 1220.00      1
 4.20086757e+00 2.86907315e-02-1.41943136e-05 3.41760790e-09-3.24671657e-13    2
-7.99332506e+03 4.14871556e+00 6.66712854e-01 4.02781240e-02-2.84411077e-05    3
 1.12027413e-08-1.91998587e-12-7.13099131e+03 2.19017388e+01                   4
IC3H7OH                 C   3H   8O   1     G    300.00   3500.00 1800.00      1
 1.16787059e+01 1.81100263e-02-6.78941190e-06 1.25815491e-09-9.52749576e-14    2
-3.87731139e+04-3.81503532e+01-2.88750699e-01 4.47043742e-02-2.89513685e-05    3
 9.46628698e-09-1.23529330e-12-3.44648295e+04 2.66200183e+01                   4
CH3COCH3                C   3H   6O   1     G    300.00   3500.00 1800.00      1
 6.21998295e+00 1.95146414e-02-8.13812782e-06 1.67212002e-09-1.38156744e-13    2
-2.95257382e+04-6.49711463e+00 1.85244805e+00 2.92202745e-02-1.62261554e-05    3
 4.66768579e-09-5.54207546e-13-2.79534256e+04 1.71408954e+01                   4
CH3CHOOH                H   5O   2C   2     G    200.00   3500.00  700.00      1
 2.17089023e+00 3.05712402e-02-1.71517173e-05 4.55985413e-09-4.63169502e-13    2
 1.39109412e+03 1.69252483e+01 3.74278582e+00 2.15889797e-02 2.09598384e-06    3
-1.37712898e-08 6.08366763e-12 1.17102873e+03 9.90241649e+00                   4
C2H3O1-2                H   3O   1C   2     G    200.00   3500.00 1800.00      1
 7.60993625e+00 6.11300596e-03-1.59366937e-06 1.28294159e-10 2.98968068e-15    2
 1.61313302e+04-1.70584528e+01 7.34197746e-02 2.28608204e-02-1.55501814e-05    3
 5.29737268e-09-7.14937891e-13 1.88444761e+04 2.37307466e+01                   4
CH3CO                   H   3O   1C   2     G    200.00   3500.00  700.00      1
 1.71419163e+00 1.69745676e-02-9.18002841e-06 2.37042666e-09-2.35757503e-13    2
-2.41597558e+03 1.77502637e+01 3.01698200e+00 9.53005112e-03 6.77250680e-06    3
-1.28224640e-08 5.19027488e-12-2.59836623e+03 1.19297259e+01                   4
CH2CHO                  H   3O   1C   2     G    298.00   3500.00 1210.00      1
 3.75501302e+00 1.38863812e-02-7.00376707e-06 1.71624563e-09-1.65568734e-13    2
 3.80106040e+02 5.51464175e+00 8.29886967e-01 2.35562194e-02-1.89911698e-05    3
 8.32087524e-09-1.53016163e-12 1.08798655e+03 2.01842727e+01                   4
H2CC                    H   2C   2          G    200.00   3500.00 1470.00      1
 4.30481422e+00 4.71424284e-03-1.60605942e-06 2.48666933e-10-1.43438365e-14    2
 4.83034985e+04 4.86426538e-01 3.20075476e+00 7.71848626e-03-4.67161394e-06    3
 1.63894109e-09-2.50785020e-13 4.86280920e+04 6.23822782e+00                   4
CH3CO3                  H   3O   3C   2     G    300.00   3500.00 1540.00      1
 9.16533279e+00 1.19642938e-02-5.17521593e-06 1.07315052e-09-8.78959393e-14    2
